Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
934,591,87,55,2,1,45,90,29,11,0,65,17,43,0,0
848,537,74,98,15,14,120,109,303,21,5,117,142,319,1,0
675,440,74,56,11,7,85,96,91,20,5,103,104,563,1,0
830,503,73,539,18,11,115,96,262,23,2,153,129,458,1,0
856,518,85,33,7,7,80,101,0,15,11,93,90,129,1,0
927,623,81,99,9,8,80,63,119,15,2,102,126,291,0,0
1103,726,86,32,3,2,50,74,61,11,6,77,66,345,0,0
1074,671,74,204,9,6,80,111,168,16,2,119,115,242,0,0
453,286,71,88,14,12,95,94,136,23,16,119,107,265,1,0
905,590,85,126,10,11,95,128,59,20,9,100,130,332,1,0
857,575,81,69,6,5,70,94,0,15,9,97,91,187,1,0
600,445,84,8,2,1,20,65,0,13,3,84,46,67,1,0
686,472,90,61,1,2,35,32,33,13,0,91,48,73,1,0
808,548,91,13,1,0,20,50,0,7,0,63,36,NA,0,0
780,615,81,94,3,1,30,126,58,12,7,88,55,77,2,0
658,422,93,40,5,5,60,105,0,14,4,79,74,167,3,0
503,366,84,48,3,3,35,91,62,15,22,65,57,99,1,0
864,596,88,87,3,4,55,109,94,15,4,98,90,93,3,0
819,562,86,37,5,4,75,94,0,15,0,97,87,86,2,0
523,347,87,62,5,4,60,114,0,16,10,92,79,96,3,0
659,524,91,49,3,3,45,45,0,12,5,96,58,76,3,0
736,503,74,99,8,9,90,193,34,23,4,99,109,789,3,0
822,669,77,140,10,10,90,93,134,16,8,111,139,365,9,0
618,439,80,170,9,9,90,110,0,15,5,99,105,502,0,0
720,499,70,139,16,13,120,130,237,20,11,125,152,709,1,0
890,720,55,444,15,16,130,197,501,16,7,140,107,866,5,0
1168,984,67,187,9,10,85,176,173,12,2,92,117,660,10,0
830,517,67,193,22,13,115,227,391,22,5,119,159,579,0,0
651,410,76,118,20,14,170,127,102,20,6,123,200,154,1,0
1032,663,61,193,19,12,115,146,457,18,5,134,154,960,4,0
824,580,66,356,17,16,125,169,138,18,8,133,167,389,1,0
656,423,66,173,21,16,150,110,282,19,7,136,193,748,1,0
647,437,65,193,28,24,185,134,606,17,8,138,192,944,2,0
695,429,58,95,16,12,105,59,417,14,6,116,146,403,2,0
820,520,68,296,29,17,145,171,424,19,6,143,198,683,1,0
803,629,76,154,8,7,95,161,121,12,3,99,72,586,6,0
866,738,65,202,11,10,125,155,597,15,8,117,84,277,4,0
1004,775,60,254,16,12,125,140,171,17,5,136,98,768,7,0
755,695,86,73,2,2,20,46,67,9,5,69,47,530,1,0
1082,944,62,135,7,7,65,73,292,13,2,86,78,518,5,0
1332,1232,77,136,5,5,80,94,104,10,3,98,46,511,6,0
782,719,55,108,3,4,50,71,145,11,2,87,35,333,7,0
1102,987,68,110,7,6,80,147,17,14,2,86,86,163,3,0
703,527,76,153,22,18,135,119,142,17,2,122,134,726,4,0
1001,913,63,88,4,2,60,136,21,11,3,88,60,1050,8,0
663,494,67,195,12,9,95,115,486,14,7,108,116,377,5,0
1749,1622,78,239,6,6,85,113,99,11,8,84,70,732,8,0
964,846,71,160,10,11,125,95,147,16,4,90,100,426,2,0
890,774,74,285,7,7,95,137,41,13,6,112,67,382,7,0
658,533,65,252,9,9,85,123,60,17,3,94,84,624,6,0
592,510,83,53,5,4,50,93,59,12,6,84,65,592,4,0
613,489,88,92,3,5,45,27,0,12,2,68,24,212,1,0
873,650,60,276,15,14,150,103,231,21,7,112,107,527,1,0
759,580,86,78,8,11,125,240,26,14,8,93,102,646,1,0
1026,853,72,118,8,5,80,82,91,10,5,95,52,215,4,0
502,430,70,169,8,10,100,113,234,17,8,102,73,4446,6,0
1043,859,54,265,10,9,90,96,180,13,8,123,104,537,4,0
645,504,75,94,1,2,30,84,0,12,4,72,38,295,2,0
536,417,69,94,10,5,50,62,71,12,3,107,116,187,5,0
616,511,57,33,2,3,50,75,105,13,5,78,56,292,7,0
961,801,59,117,11,7,105,122,193,13,16,113,135,417,2,0
544,469,88,105,2,1,15,38,0,11,5,73,58,92,3,0
497,428,71,44,5,5,70,34,41,13,9,77,74,342,3,0
721,626,76,16,3,3,50,91,0,9,6,87,69,222,8,0
925,585,72,449,23,17,155,141,342,20,11,146,166,833,5,0
745,543,51,426,19,20,165,157,706,20,4,161,153,927,8,0
926,823,73,57,4,4,60,169,43,10,3,73,59,184,3,0
1078,880,87,133,8,9,125,150,212,16,8,101,99,576,3,0
